"id","title","path","class","tags","links","content","create_time","update_time"
"44f5e969-cb05-43df-8286-82e15b74b223","Format","/Users/Shared/obsidian-storage/master/<9> void/go.конспект.пакеты.стандартные%.go%.format.md","саморазвитие","{""саморазвитие""}","{""2024-04-12; 2025-05-16; go#Go; go.конспект.пакеты#Пакеты; go.конспект.пакеты.стандартные%.go%#Go""}","{}","2024-04-12 00:00:00","2025-05-16 00:00:00"
"a84284b2-4ec0-4070-9421-19f30a9d256f","2023-12-22","/Users/Shared/obsidian-storage/master/<9> void/2023-12-22.md","реализация","{""реализация""}","{""2024-05-10; 2025-05-16; 0000-00-00#0000-00-00; 0000-00-00#0000-00-00; 0000-00-00#0000-00-00""}","{""## Планы
## Tasks
```tasks
(due on or after 2023-12-22) AND (starts on or before 2023-12-22)
not done
hide recurrence rule
hide created date
hide start date
hide backlink
hide due date
hide edit button
hide postpone button
```
```tasks
starts on or before 2023-12-22
priority is below none
not done
hide recurrence rule
hide created date
hide start date
hide backlink
hide due date
hide edit button
hide postpone button
```
## События
## Расходы
[потрачено:: 0]
## Сны
```dataview
LIST
WHERE contains(file.name"",""\""сон.2023-12-22\"")
```
## Мысли
```dataview
LIST
WHERE contains(file.name"",""\""мысль.2023-12-22\"")
```
## Анализ
```dataview
LIST
WHERE contains(file.name"",""\""самоанализ.2023-12-22\"")
```
```dataview
LIST
WHERE contains(file.name"",""\""анализ.2023-12-22\"")
```""}","2024-05-10 00:00:00","2025-05-16 00:00:00"
"add9b7d7-a132-4af8-a29e-0887534525b0","2022-12-22","/Users/Shared/obsidian-storage/master/<9> void/2022-12-22.md","реализация","{""реализация""}","{""2024-04-01; 2025-05-16; 0000-00-00#0000-00-00; 0000-00-00#0000-00-00; 0000-00-00#0000-00-00""}","{""## Планы
```tasks
(due on or after 2022-12-22) AND (starts on or before 2022-12-22)
not done
hide recurrence rule
hide created date
hide start date
hide backlink
hide due date
hide edit button
hide postpone button
```
```tasks
starts on or before 2022-12-22
priority is below none
not done
hide recurrence rule
hide created date
hide start date
hide backlink
hide due date
hide edit button
hide postpone button
```
## События
## Расходы
[потрачено:: 0]
## Сны
```dataview
LIST
WHERE contains(file.name"",""\""сон.2022-12-22\"")
```
## Мысли
```dataview
LIST
WHERE contains(file.name"",""\""мысль.2022-12-22\"")
```
## Анализ
```dataview
LIST
WHERE contains(file.name"",""\""самоанализ.2022-12-22\"")
```
```dataview
LIST
WHERE contains(analy.name"",""\""анализ.2022-12-22\"")
```""}","2024-04-01 00:00:00","2025-05-16 00:00:00"
"5417dbf0-13f7-43aa-8686-ef7ec5a28ae9","Ведение Заметок","/Users/Shared/obsidian-storage/master/<9> void/obsidian.введение_в_obsidian.ведение_заметок.md","личное","{""личное""}","{""2024-01-25; 2025-05-16; obsidian#Obsidian; obsidian.введение_в_obsidian#Введение В Obsidian; obsidian.введение_в_obsidian#Введение В Obsidian""}","{""## Band
Dataview поле для объединения заметок одной темы.
Почему именно \""band\""? - Захотелось. Раньше я использовал \""ветка\"""",""но мне не понравилось"",""потому что у реального дерева листья могут принадлежать только к одной ветке.
## Название
Название должно состоять из имени band-а и имени заметки"",""разделённых точкой. В названии имени band-а и имени заметки не должно быть пробелов"",""они должны разделяться нижним подчёркиванием ```_```. В них также все буквы должны быть строчными.
Почему строчные буквы и точки? - Захотелось. Как по мне"",""синтаксически это отсылает к системе классов в языках программирования. Это красиво выглядит и приятно читается.
Исключение - заметки"",""обобщающие один band.
### Про то"",""зачем нужен band в названии заметки
В какой-то момент столкнулся с проблемой того"",""что не получалось создать заметку"",""потому что совпадало название.
Например"",""есть заметка \""Лев\"". Она про знак зодиака. Если мне захочется создать заметку про животное"",""то придётся либо переименовывать прошлую"",""либо их как-то объединять. И то и то придётся делать каждый раз"",""когда возникнет такая проблема. Поэтому таким образом я унифицирую названия заметок.
На самом деле"",""не стоит перебарщивать с большим количеством контекста в названии заметки. Его должно быть достаточно"",""чтобы 100% не возникало необходимости в переименованиях"",""но при этом не должна выстраиваться строгая иерархия.
## Строение
Любая заметка должна начинаться с набора band-ов. Так"",""например"",""выглядит заметка о сне:
![[Снимок экрана 2024-01-26 в 01.31.34.png]]
Далее идёт Heading1"",""в который оборачивается вся заметка. Больше Heading1 в заметке быть не должно"",""остальные заголовки должны быть ниже уровня. По сути"",""он является её \""адекватным\"" названием.
Исключение - несколько Heading1 может быть тогда"",""когда в одной заметке реализуется история ведения этой заметки"",""история её изменений. Тогда чем новее"",""тем выше должен быть Heading1.
## Ссылки
При ссылке на заметки требуется использовать конструкцию:
```[[band.name_note#name_note|name_note]]``` вместо ```[[name.note]]```.
Она довольно громоздка и при беглом написании может быть неудобна. Поэтому я обычно если пишу бегло заметки"",""то не использую в них ссылки. Пишу всё"",""что пришло в голову в одной"",""и только потом атомизирую и оформляю ссылки.
---
Теперь немного про то"",""почему я использую:
```[[band.name_note#name_note|name_note]]``` вместо ```[[band.name_note|name_note]]```.
Если мне понадобится в заметке в дальнейшем сделать в этой заметке вставку"",""то достаточно просто добавить ! перед ссылкой. Если не добавлять часть с #"",""то в начале вставки будет отображаться название. А оно в такой системе страшненькое. Поэтому надо добавлять #…"",""чтобы отображался сверху Heading1. Для этого же"",""кстати"",""заметка оборачивается в Heading1.""}","2024-01-25 00:00:00","2025-05-16 00:00:00"
"362481c8-d3ef-4d56-9b98-37affc60bf52","Третий","/Users/Shared/obsidian-storage/master/<9> void/сон.2023-12-01.<3>.md","духовность","{""духовность""}","{""2024-05-10; 2025-05-16; сон#Сон; 2023-12-01#2023-12-01; сон#Сон""}","{""#Персонаж_Марат - гг"",""12 лет
#IOI #OI
Влетает гигантская оса (сантиметров 20 в длину) и начинается переполох""}","2024-05-10 00:00:00","2025-05-16 00:00:00"
"fe98662e-5401-4d79-a130-6324804e46bc","Второй","/Users/Shared/obsidian-storage/master/<9> void/сон.2023-06-25.<2>.md","духовность","{""духовность""}","{""2024-05-10; 2025-05-16; сон#Сон; 2023-06-25#2023-06-25; сон#Сон""}","{""#Персонаж_НеМарат - гг"",""27 лет
#IOI #OI
Съёмки Человека Паука [[человек.сэмюэл_маршалл_рэйми|Сема Рейми]]. Я - [[человек.тобиас_винсент_магуайр|Тобби Магуайр]]"",""что-то не нравится в процессе съёмок"",""поэтому ухожу с площадки. Прихожу в какое-то заведение"",""где мне делают….анальный массаж""}","2024-05-10 00:00:00","2025-05-16 00:00:00"
"5d93a679-4591-4fd5-bfbb-2597d874273b","Первый","/Users/Shared/obsidian-storage/master/<9> void/сон.2024-04-24.<1>.md","духовность","{""духовность""}","{""2024-05-06; 2025-05-16; сон#Сон; 2024-04-24#2024-04-24; сон#Сон""}","{""Снится"",""как [[человек.пономарёв_артём_андреевич|Артём]] рассказывает"",""что на самом деле он - сбежавший из индии раб"",""живший в клетке и наслушившийся того"",""как индусы записывают видео по программированию. Решает изменить свою жизнь и стать программистом.""}","2024-05-06 00:00:00","2025-05-16 00:00:00"
"9e046ceb-eb3b-46c5-8d0e-2dae335d4f56","Ратас Артём","/Users/Shared/obsidian-storage/master/<9> void/человек.ратас_артём.md","личное","{""личное""}","{""2024-09-01; 2025-05-16; человек#Человек; человек#Человек; человек#Человек""}","{}","2024-09-01 00:00:00","2025-05-16 00:00:00"
"0725cdd0-fc0d-4abc-b28b-3f8af13dcbbe","Персонажи","/Users/Shared/obsidian-storage/master/<9> void/сны.персонажи.md","духовность","{""духовность""}","{""2024-01-08; 2025-05-16; сны#Сны; сны#Сны; сны#Сны""}","{""Во снах"",""кроме сновидца"",""есть ещё боты и персонажи. Всё"",""опять же"",""сводится к моему субъективному восприятию.
Бот - простая болванка"",""на него особо не обращается внимание"",""он действует исключительно примитивно.
Персонаж - сопоставимый по сложности поведения со сновидцем.
Во сне я сам для себя же являюсь персонажем. Буду называть персонажа"",""с которым сейчас ассоциируется моё \""я\"" - главным героем (гг
Есть два вида персонажей:
## ![[сны.персонажи.корневые%]]
## ![[сны.персонажи.внешние%]]
Каждый персонаж имеет определённое [[сны.персонажи.состояния_персонажей|состояние]].""}","2024-01-08 00:00:00","2025-05-16 00:00:00"
"c93e2881-52ca-4482-b04a-6ed7e7d45acc","Второй","/Users/Shared/obsidian-storage/master/<9> void/сон.2023-05-14.<2>.md","духовность","{""духовность""}","{""2024-05-07; 2025-05-16; сон#Сон; 2023-05-14#2023-05-14; сон#Сон""}","{""[[человек.вещина_оксана_аркадьевна|Мать]] работает в музыкальной школе. Я"",""закончив девятый класс"",""надумываю закончить муз школу. Мать говорит"",""что с лёгкостью меня пристроит"",""если надо"",""но я сомневаюсь и не хочу таким способом получать в ней место.
Проходит время"",""я на каком-то музыкальном фестивале встречаю девушку"",""с которой мы быстро находим контакт. Я понимаю"",""что мне нужно быть более инициативным"",""и в том момент"",""когда я почти решаюсь поцеловать её"",""она…целует меня"",""чертовка. Это было очень реалистично. Не буду описывать процесс в деталях.
Забавно"",""что первый поцелуй у меня случился во сне (да"",""[[человек.медведев_кирилл_викторович|Кирилл]]"",""первый"",""тот раз не считается).""}","2024-05-07 00:00:00","2025-05-16 00:00:00"
